COMMUNITY0,COMMUNITY1,COMMUNITY2,COMMUNITY3,COMMUNITY4,COMMUNITY5,COMMUNITY6,COMMUNITY7,COMMUNITY8,COMMUNITY9,COMMUNITY10,COMMUNITY11,COMMUNITY12,COMMUNITY13,COMMUNITY14,COMMUNITY15
4932.Q0182,4932.YML121W,4932.YBR118W,4932.YKL206C,4932.YOR153W,4932.YPR060C,4932.YBL019W,4932.YPR051W,4932.YNL140C,4932.YOL091W,4932.YNL151C,4932.YDR261W-B,4932.YFL058W,4932.YBL044W,4932.YBL071C,4932.YEL043W
4932.Q0017,4932.YGR163W,4932.YJL138C,4932.YDL100C,4932.YBL005W,4932.YGL202W,4932.YAL015C,4932.YPR131C,4932.YLR358C,4932.YDR273W,4932.YDL150W,4932.YDR098C-B,4932.YOR143C,4932.YML132W,4932.YCR013C,4932.YGR089W
4932.Q0032,4932.YIL140W,4932.YLR249W,4932.YDR066C,4932.YDR011W,4932.YGL148W,4932.YML060W,4932.YOL076W,4932.YHR173C,4932.YOR177C,4932.YNR003C,4932.YJR027W,4932.YDL244W,4932.YBR302C,4932.YPR136C,4932.YFR034W-A
4932.Q0010,4932.YGR152C,4932.YNL209W,4932.YDR056C,4932.YGL013C,4932.YDR127W,4932.YBL003C,4932.YHR013C,4932.YNL184C,4932.YDL239C,4932.YBL014C,4932.YCR018C-A,4932.YPL214C,4932.YNL336W,4932.YMR151W,None
4932.Q0297,4932.YKL092C,4932.YKR059W,4932.YKL207W,4932.YDR406W,4932.YCL009C,4932.YDR096W,4932.YEL053C,4932.YOR105W,4932.YOL015W,4932.YJL025W,4932.YLR256W,4932.YNL332W,4932.YJR161C,4932.YKL165C-A,None
4932.Q0142,4932.YDR128W,4932.YPL243W,4932.YGL020C,4932.YJL219W,4932.YFR017C,4932.YER169W,4932.YDL040C,4932.YER084W,4932.YLR341W,4932.YKL125W,4932.YDR034C-A,4932.YOL055C,4932.YFL062W,4932.YAL016C-B,None
4932.Q0092,4932.YOR301W,4932.YOL139C,4932.YDR067C,4932.YOL156W,4932.YBR249C,4932.YMR224C,4932.YMR069W,4932.YNL143C,4932.YGL170C,4932.YDR465C,4932.YMR158C-A,4932.YPL258C,4932.YDL248W,4932.YLR163W-A,None
4932.YHR021W-A,4932.YLR084C,4932.YML105C,4932.YOR164C,4932.YDR072C,4932.YPR167C,4932.YOL043C,4932.YCR020C-A,4932.YJR146W,4932.YGR147C,4932.YBL039C,4932.YDR261W-A,4932.YEL029C,4932.YBR144C,4932.YNL319W,None
None,4932.YLR353W,4932.YDL092W,4932.YPL144W,4932.YNL318C,4932.YGR267C,4932.YBR274W,4932.YPR178W,4932.YPR089W,4932.YGR146C-A,4932.YDL201W,4932.YCL019W,4932.YGR144W,4932.YIR040C,4932.YBR191W-A,None
4932.Q0143,4932.YFL039C,4932.YGL123W,4932.YLL039C,4932.Q0130,4932.YMR105C,4932.YNL031C,4932.YPL178W,4932.YBL076C,4932.YCL029C,4932.YOR272W,4932.YER138W-A,4932.YJR156C,4932.YHL050C,4932.YGL102C,4932.YFR035C
