COMMUNITY,RANK,DEGREE_NODE,DEGREE_VALUE,EIGENVECTOR_NODE,EIGENVECTOR_VALUE,PAGERANK_NODE,PAGERANK_VALUE
16,2,YPL240C,45,YMR186W,0.22948263023672152,YPL240C,0.016469956422689835
16,3,YMR186W,40,YOR027W,0.22507209807601652,YMR186W,0.013182572709448974
16,4,YOR027W,39,YPL106C,0.21598722996303563,YOR027W,0.012643151208404722
16,5,YPL106C,35,YNL064C,0.2108626767945029,YPL106C,0.011124816421642602
16,6,YNL064C,34,YJL034W,0.21039479937469577,YNL064C,0.010556546524241532
16,7,YNL007C,32,YNL007C,0.2066080541664878,YCL043C,0.010484113983263581
16,8,YKL073W,27,YDR258C,0.1872682068451884,YNL007C,0.01035486466820733
16,9,YDR320C,27,YBR101C,0.17656656387935304,YKL073W,0.00968819586922933
16,10,YDR258C,26,YFL016C,0.16890886145925307,YEL029C,0.009033497201999398
17,1,YEL061C,69,YEL061C,0.142004974947174,YCL029C,0.01555745832040307
17,2,YCL029C,68,YLR045C,0.14056295007143227,YEL061C,0.015178767080811974
17,3,YPL269W,67,YCL029C,0.14045404700091074,YLR045C,0.014682089293136497
17,4,YLR045C,65,YPL269W,0.1404211651846538,YPL269W,0.014517164656078487
17,5,YOR195W,63,YOL069W,0.13975173509971056,YOR195W,0.01356651442661078
17,6,YDL028C,62,YOR195W,0.13963978840988023,YDL028C,0.013058819021215171
17,7,YOL069W,60,YJL030W,0.13943651183720931,YJL030W,0.01247307357650317
17,8,YJL030W,60,YPL018W,0.1392603594954253,YOL069W,0.012143160661536197
17,9,YPL018W,57,YDL028C,0.13902867366949848,YBR107C,0.01194414934395
17,10,YMR117C,57,YBR107C,0.1386952461595589,YPL209C,0.011154115388751898
18,1,YMR304C-A,16,YCR013C,0.30286587896110756,YGL102C,0.020957709072468154
18,2,YCR013C,14,YHR056W-A,0.2999575653895034,YGR182C,0.020680700454136888
18,3,YHR056W-A,13,YBL071C,0.29995756538950336,YLL044W,0.020204453015411197
18,4,YBL071C,13,YAL016C-B,0.28537275706776105,YPR044C,0.02019170734509906
18,5,YPR136C,11,YMR151W,0.285372757067761,YMR304C-A,0.01946436879631589
18,6,YMR151W,11,YPR136C,0.2853727570677608,YLR062C,0.018963291186571345
18,7,YLR163W-A,11,YLR163W-A,0.2853727570677607,YMR031W-A,0.018784757209485466
18,8,YKL165C-A,11,YKL165C-A,0.2853727570677607,YLR125W,0.018475885098324464
18,9,YAL016C-B,11,YMR304C-A,0.2719800644962495,YCR013C,0.01768772040536372
18,10,YPR044C,10,YNL319W,0.2621956994151376,YBR113W,0.017063239878675394
19,1,YOR272W,214,YOR272W,0.09458225019333061,YOR272W,0.006830036017780718
19,2,YCL054W,210,YGR103W,0.09331434802250332,YGR103W,0.006716559410761572
19,3,YGR103W,209,YCL054W,0.09310115531097225,YCL054W,0.00671011150539876
19,4,YMR049C,208,YOR206W,0.09248867033784368,YMR049C,0.006651258630154877
19,5,YDR496C,205,YMR049C,0.09228657472208004,YPL043W,0.006525180389905026
19,6,YOR206W,204,YKR081C,0.09201139138458488,YDR496C,0.006501310932133436
19,7,YKR081C,203,YDR496C,0.0919697128737962,YKR081C,0.006457655445780294
19,8,YNL110C,202,YNL110C,0.0919233678634556,YOL077C,0.006428549395276709
19,9,YHR052W,201,YHR052W,0.09188614783896185,YOR206W,0.006394582457335534
19,10,YNL061W,200,YNL075W,0.09049494563842175,YNL061W,0.0063657799346704385
20,1,YNL031C,92,YPR023C,0.19949971442535447,YNL031C,0.015558292704089456
20,2,YGR252W,78,YNL031C,0.18066665052871136,YGR252W,0.012945385284949342
20,3,YPR023C,76,YNL330C,0.17712197673747063,YOL012C,0.012095349241728717
20,4,YOL012C,76,YGR252W,0.15920145362304672,YBR010W,0.011387512244285839
20,5,YBR010W,69,YOL012C,0.15414132254288881,YPR023C,0.011385264741194475
20,6,YNL330C,65,YNL021W,0.1497050112215417,YJL168C,0.010494621702093006
20,7,YDR224C,63,YOL004W,0.14812211897437444,YDR225W,0.010357437808276162
20,8,YDR225W,62,YOL068C,0.14303061193972835,YDR224C,0.0103450926334335
20,9,YBR009C,61,YBR010W,0.14164705970692548,YBR009C,0.01027219193831079
20,10,YJL168C,58,YDR225W,0.14060226641496607,YNL330C,0.010221805970058574
21,1,YGR200C,17,YBR271W,0.29914736768403194,YGR200C,0.027970147365027256
21,2,YJR129C,15,YJR129C,0.29634980232991553,YBL071W-A,0.025420419508173676
21,3,YBR271W,15,YIL064W,0.2781234810371564,YER138W-A,0.024156368603012675
21,4,YBL071W-A,15,YDR198C,0.27366641311991435,YBR271W,0.023461818961151903
21,5,YIL064W,14,YBR261C,0.27293038427706184,YJR129C,0.02341640897692535
21,6,YNL092W,13,YNL092W,0.26215239575213883,YIL064W,0.02236534719914014
21,7,YML014W,13,YPL208W,0.26067611816079705,YBR141C,0.021825479156050213
21,8,YIL110W,13,YBR141C,0.25412870077169436,YNL092W,0.021644227331135118
21,9,YDR198C,13,YNL063W,0.2513347539041187,YIL110W,0.021530730769755854
21,10,YBR261C,13,YIL110W,0.24538296694454848,YDR261W-B,0.021099382595099102
22,1,YLR025W,26,YLR025W,0.25269088668607487,YLR025W,0.02943522555622134
22,2,YMR077C,25,YMR077C,0.2497931954810589,YOR322C,0.028562278191117545
22,3,YCL008C,25,YCL008C,0.24037828244998083,YCL008C,0.028073040534590518
